,sentence,sentiment
45,"ough we may sit forty years underground without speaking, when we do come out into the light of day and break out we talk and talk and talk .... XI The long and the short of it is, gentlemen, that it is better to do nothing Better conscious inertia And so hurrah for underground ough have said that envy the normal man to the last drop of my bile, yet should not care to be in his place such as he is now though shall not cease envying him .",Positive
46,"re, at any rate, one can ... Oh, but even now am lying am lying because know myself that it is not underground that is better, but something dirent, quite dirent, for which am thirsting, but which cannot nd Damn underground will tell you another thing that would be better, and that is, if myself believed in anything of what have just written.",Neutral
47,.,Neutral
48,"We Russians, speaking generally, have never had those foolish transcendental romantics German, and still more French on whom nothing produces any ect if there were an earthquake, if all France perished at the bar ricades, they would still be the same, they would not even have the decency to act change, but would still go on singing their transcendental songs to the hour of their death, because they are fools.",Negative
49,"characteristics of our romantic are to understand everything, TO SEE EVERYTHING AND TO SEE IT OFTEN INCOMPARABLY MORE CLEARLY THAN OUR MOST REALISTIC MINDS SEE IT to refuse to accept anyone or anything, but at the same time not to despise anything to give way, to yield, from policy never to lose sight of useful practical object such as rent free quarters at the government expense, pensions, decorations , to keep their eye on that object through all the enthusiasms and volumes of lyrical poems, and at the same time to pre serve the sublime and the beautiful inviolate within them to the hour of their death, and to preserve themselves also, incidentally, like some precious jewel wrapped in cotton wool if only for the benet of the sublime and the beau tiful.",Positive
50,"at is why there are so many broad natures among us who never lose their ideal even in the depths of degradation and though they never stir nger for their ideal, though they are ar rant thieves and knaves, yet they tearfully cherish their rst ideal and are extraordinarily honest at heart.",Positive
51,.,Neutral
52,"did not ght duels and would have thought duel with civilian like me an utterly unseemly proce dure in any case and they looked upon the duel altogether as something impossible, something free thinking and French.",Positive
53,"was fully convinced the sense of reality, in spite of all my romanticism that they would all simply split their sides with laughter, and that the ocer would not simply beat me, that is, without insulting me, but would certainly prod me in the back with his knee, kick me round the billiard table, and only then perhaps have pity and drop me out of the window.",Negative
54,"is was regular martyrdom, continual, intolerable humiliation at the thought, which passed into an incessant and direct sensation, that was mere in the eyes of all this world, nasty, disgusting more intelligent, more highly developed, more rened in feeling than any of them, of course but that was continually making way for everyone, insulted and injured by everyone.",Negative
55,"He, too, went there chiey on holidays, He, too, turned out of his path for generals and persons of high rank, and he too, wriggled between them like an eel but people, like me, or even better dressed than me, he sim ply walked over he made straight for them as though there was nothing but empty space before him, and never, under any circumstances, turned aside.",Positive
56,"And lo and behold bright idea dawned upon me What, thought, if meet him and don move on one side What if don move aside on purpose, even if knock up against him How would that be is audacious idea took such hold on me that it gave me no peace.",Positive
57,"And what loving kindness, oh Lord, what loving kind ness felt at times in those dreams of mine in those ights into the sublime and the beautiful though it was fantastic love, though it was never applied to anything human in re ality, yet there was so much of this love that one did not feel aerwards even the impulse to apply it in reality that would have been superuous.",Positive
58,"hated the abrupt self condent tone of his voice, his admiration of his own witticisms, which were oen frightfully stupid, though he was bold in his language hated his handsome, but stupid face for which would, however, have gladly ex changed my intelligent one , and the free and easy military manners in fashion in the forties.",Negative
59,"remember how , invariably so taciturn, suddenly fastened upon Zverkov, when one day talking at leisure moment with his schoolfellows of his future rela tions with the fair sex, and growing as sportive as puppy in the sun, he all at once declared that he would not leave single village girl on his estate unnoticed, that that was his DROIT DE SEIGNEUR, and that if the peasants dared to protest he would have them all ogged and double the tax on them, the bearded rascals.",Negative
60,"Of Simonov two visitors, one was Fertchkin, Rus sianised German little fellow with the face of monkey, blockhead who was always deriding everyone, very bit ter enemy of mine from our days in the lower forms vulgar, impudent, swaggering fellow, who acted most sensitive feeling of personal honour, though, of course, he was wretched little coward at heart.",Negative
61,.,Neutral
62,"rst thing did on leaving school was to give up the special job for which had been destined so as to break all ties, to curse my past and shake the dust from my feet .... And good ness knows why, aer all that, should go trudging to Simonov Early next morning roused myself and jumped out of bed with excitement, as though it were all about to happen at once.",Positive
63,", perhaps, we would be reconciled and drink to our everlasting friendship but what was most bitter and humiliating for me was that knew even then, knew fully and for certain, that needed nothing of all this really, that did not really want to crush, to subdue, to attract them, and that did not care straw re ally for the result, even if did achieve it.",Positive
64,.,Neutral
65,"So, then, he felt himself ineably superior to me in every respect If he only meant to insult me by that high ocial tone, it would not matter, thought could pay him back for it one way or another.",Neutral
66,.,Neutral
67,"At times, with an intense, acute pang was stabbed to the heart by the thought that ten years, twenty years, forty years would pass, and that even in forty years would remember with loathing and humiliation those lthiest, most ludicrous, and most awful moments of my life.",Negative
68,.,Neutral
69,"Even if were to ask the director himself to be my second tomorrow, he would be bound to consent, if only from feeling of chivalry, and to keep the secret Anton Antonitch .... fact is, that at that very minute the disgusting ab surdity of my plan and the other side of the question was clearer and more vivid to my imagination than it could be to anyone on earth.",Positive
70,"Come, tell me, what is there good here Here you and ... came to gether ... just now and did not say one word to one another all the time, and it was only aerwards you began staring at me like wild creature, and at you.",Positive
71,"And what if all goes well with the family, if the blessing of God is upon it, if the husband is good one, loves you, cherishes you, never leaves you re is happiness in such family Even some times there is happiness in the midst of sorrow and indeed sorrow is everywhere.",Positive
72,"You know little rosy baby boy at your bo som, and what husband heart is not touched, seeing his wife nursing his child plump little rosy baby, sprawling and snuggling, chubby little hands and feet, clean tiny lit tle nails, so tiny that it makes one laugh to look at them eyes that look as if they understand everything.",Positive
73,.,Neutral
74,"VII , hush, Liza How can you talk about being like book, when it makes even me, an outsider, feel sick ough don look at it as an outsider, for, indeed, it touch es me to the heart .... Is it possible, is it possible that you do not feel sick at being here yourself Evidently habit does wonders God knows what habit can do with anyone.",Negative
75,"Can you seriously think that you will never grow old, that you will always be good looking, and that they will keep you here for ever and ever say nothing of the loathsomeness of the life here .... ough let me tell you this about it about your present life, mean here though you are young now, attractive, nice, with soul and feeling, yet you know as soon as came to myself just now felt at once sick at being here with you One can only come here when one is drunk.",Positive
76,"But when are you free Only think what you are giving up here What is it you are making slave of It is your soul, together with your body you are selling your soul which you have no right to dispose of You give your love to be outraged by ev ery drunkard Love But that everything, you know, it priceless diamond, it maiden treasure, love why, man would be ready to give his soul, to face death to gain that love.",Positive
77,"And you are laying down everything here, unconditionally, youth and health and beauty and hope, and at twenty two you will look like woman of ve and thirty, and you will be lucky if you are not diseased, pray to God for that No doubt you are thinking now that you have gay time and no work to do Yet there is no work harder or more dreadful in the world or ever has been.",Neutral
78,"declaring that he would love her as long as he lived, that he would devote his life to her, and when they vowed to love one another for ever and be married as soon as they were grown up No, Liza, it would be happy for you if you were to die soon of consumption in some corner, in some cellar like that woman just now.",Positive
79,"will thrust you dying into the lthiest corner in the cellar in the damp and darkness what will your thoughts be, lying there alone When you die, strange hands will lay you out, with grumbling and impatience no one will bless you, no one will sigh for you, they only want to get rid of you as soon as may be they will buy con, take you to the grave as they did that poor woman today, and celebrate your memory at the tavern.",Negative
80,"While for you neither tear, nor sigh, nor remembrance no one in the whole world will ever come to you, your name will vanish from the face of the earth as though you had never existed, never been born at all Nothing but lth and mud, however you knock at your con lid at night, when the dead arise, however you cry Let me out, kind people, to live in the light of day My life was no life at all my life has been thrown away like dish clout it was drunk away in the tavern at the Haymarket let me out, kind people, to live in the world again.",Negative
81,"In few words, hurriedly, but with sort of joy and pride, she explained to me that she had been to dance somewhere in private house, family of very nice people, WHO KNEW NOTHING, absolute ly nothing, for she had only come here so lately and it had all happened ... and she hadn made up her mind to stay and was certainly going away as soon as she had paid her debt... and at that party there had been the student who had danced with her all the evening.",Positive
82,"He had talked to her, and it turned out that he had known her in old days at Riga when he was child, they had played together, but very long time ago and he knew her parents, but ABOUT THIS he knew nothing, nothing whatever, and had no suspicion And the day aer the dance three days ago he had sent her that letter through the friend with whom she had gone to the party ... and ... well, that was all.",Negative
83,"poor girl was keeping that student letter as pre cious treasure, and had run to fetch it, her only treasure, because she did not want me to go away without knowing that she, too, was honestly and genuinely loved that she, too, was addressed respectfully.",Positive
84,"But none the less, am certain that she would keep it all her life as pre cious treasure, as her pride and justication, and now at such minute she had thought of that letter and brought it with naive pride to raise herself in my eyes that might see, that , too, might think well of her.",Positive
85,.,Neutral
86,"was so delighted at this that, as signed the IOU with swaggering air, told him casually that the night be fore had been keeping it up with some friends at the Hotel de Paris we were giving farewell party to comrade, in fact, might say friend of my childhood, and you know desperate rake, fearfully spoilt of course, he belongs to good family, and has considerable means, brilliant career he is witty, charming, regular Lovelace, you understand we drank an extra half dozen and ... And it went all right all this was uttered very easily, unconstrainedly and complacently.",Positive
87,"was particularly pleased with certain lightness, almost carelessness strictly within the bounds of politeness, how ever , which was apparent in my style, and better than any possible arguments, gave them at once to understand that took rather an independent view of all that unpleasantness last night that was by no means so utterly crushed as you, my friends, probably imagine but on the contrary, looked upon it as gentleman serenely respecting himself should .",Positive
88,"was so uneasy that sometimes ew into fury She ll come, she is certain to come cried, running about the room, if not today, she will come tomorrow she ll nd me out damnable romanticism of these pure hearts Oh, the vile ness oh, the silliness oh, the stupidity of these wretched sentimental souls Why, how fail to understand How could one fail to understand ... you imagine that have not noticed your love saw it all, divined it, but did not dare to approach you rst, because had an inuence over you and was afraid that you would force yourself, from gratitude, to respond to my love, would try to rouse in your heart feeling which was perhaps ab sent, and did not wish that ... because it would be tyranny ... it would be indelicate in short, launch at that point into European, inexplicably loy subtleties la George Sand , but now, now you are mine, you are my creation, you are pure, you are good, you are my noble wife.",Positive
89,"would take the seven roubles out of drawer, show him have the money put aside on pur pose, but that won , won , simply won pay him his wages, won just because that is what wish, because am master, and it is for me to decide, because he has been disrespectful, because he has been rude but if he were to ask respectfully might be soened and give it to him, other wise he might wait another fortnight, another three weeks, whole month ....",Positive
90,"If were still not brought to reason by all this, but per sisted in my revolt, he would suddenly begin sighing while he looked at me, long, deep sighs as though measuring by them the depths of my moral degradation, and, of course, it ended at last by his triumphing completely raged and shouted, but still was forced to do what he wanted.",Negative
91,.,Neutral
92,"But you don know what that woman is ... Apollon, who had already sat down to his work and put on his spectacles again, at rst glanced askance at the money without speaking or putting down his needle then, without paying the slightest attention to me or making any answer, he went on busying himself with his needle, which he had not yet threaded.",Negative
93,.,Neutral
94,"saviour, the former hero, was ying like mangy, unkempt sheep dog at his lackey, and the lackey was jeering at him And shall never forgive you for the tears could not help shedding before you just now, like some silly woman put to shame And for what am confessing to you now, shall never forgive you either Yes you must answer for it all because you turned up like this, because am blackguard, because am the nastiest, stupidest, absurdest and most envious of all the worms on earth, who are not bit better than am, but, the devil knows why, are never put to confusion while shall always be insulted by every louse, that is my doom And what is it to me that you don understand word of this And what do care, what do care about you, and whether you go to ruin there or not Do you understand How shall hate you now aer saying this, for having been here and lis tening.",Negative
95,"Besides, she was so crushed, poor girl she considered herself innitely beneath me how could she feel anger or resentment She suddenly leapt up from her chair with an irresistible impulse and held out her hands, yearning towards me, though still timid and not daring to stir .... At this point there was revulsion in my heart too.",Negative
96,"But the trouble was that the hysterics could not go on for ever, and am writing the loathsome truth lying face downwards on the sofa with my face thrust into my nasty leather pillow, began by degrees to be aware of far away, involuntary but irresistible feel ing that it would be awkward now for me to raise my head and look Liza straight in the face.",Negative
97,.,Neutral
98,"She realised that my outburst of passion had been simply revenge, fresh humiliation, and that to my earlier, almost causeless hatred was added now PERSONAL HA TRED, born of envy .... ough do not maintain positively that she understood all this distinctly but she certainly did fully understand that was despicable man, and what was worse, incapable of loving her.",Negative
99,"And what is there to wonder at in that, since had succeeded in so corrupting myself, since was so out of touch with real life, as to have actually thought of reproaching her, and putting her to shame for having come to me to hear ne sentiments and did not even guess that she had come not to hear ne senti ments, but to love me, because to woman all reformation, all salvation from any sort of ruin, and all moral renewal is included in love and can only show itself in that form.",Positive
100,"Will it not be better that she should keep the resentment of the insult for ever Resentment why, it is purication it is most stinging and painful consciousness Tomorrow should have deled her soul and have exhaust ed her heart, while now the feeling of insult will never die in her heart, and however loathsome the lth awaiting her the feeling of insult will elevate and purify her ... by hatred ... ... perhaps, too, by forgiveness .... Will all that make things easier for her though ... And, indeed, will ask on my own account here, an idle question which is better cheap happiness or exalted suf ferings Well, which is better So dreamed as sat at home that evening, almost dead with the pain in my soul.",Negative
101,.,Neutral
102,.,Neutral
103,.,Neutral
104,.,Neutral
105,"Why, to tell long sto ries, showing how have spoiled my life through morally rotting in my corner, through lack of tting environment, through divorce from real life, and rankling spite in my underground world, would certainly not be interesting novel needs hero, and all the traits for an anti hero are EXPRESSLY gathered together here, and what matters most, it all produces an unpleasant impression, for we are all di vorced from life, we are all cripples, every one of us, more or less.",Positive
